Interlocutor	Text	Acts
user	Cześć.	hello()
system	Witam w twoim prywatnym asystencie kalendarza spotkań.	welcomemsg()
user	Chciałbym utworzyć nowe spotkanie.	request(create meeting)
system	Proszę podać dzień na jaki mam umówić spotkanie.	request(date)
user	Najbliższy poniedziałek.	inform(date=najbliższy poniedziałek)
system	Proszę podać godzinę i długość spotkania.	request(time)&request(length)
user	Spotkanie będzie w godzinach 16:30-19:00	inform(time=16:30;length=2:30)
system	Czy mam zapisać miejsce spotkania?	request(place)
user	Miejsce spotkania to Kawiarnia JKL	inform(place=Kawiarnia JKL)
system	Czy mam zapisać naziwsko osoby, której dotyczy to spotkanie?	request(participant)
user	Spotkanie będzie z Janem Nowakiem	inform(participant=Jan Nowak)
system	Czy mam dodać opis do spotkania?	request(description)
user	Tak. Spotkanie będzie dotyczyło omówienia strategii biznesowej.	inform(description=Omówienie strategii biznesowej)
system	Proszę potwierdzić utworzenie spotkania: Data: Poniedziałek 05.04.2021 16:30-19:00 Miejsce: Kawiarnia JKL Spotkanie z: Jan Nowak Opis: Omówienie strategii biznesowej	confirm-domain()
user	Potwierdzam.	confirm()
system	Spotkanie zostało pomyślnie dodane do kalendarza.	inform(create meeting)
user	Czy mam jakieś spotkania w najbliższy piątek?	request(meeting list(date=najbliższy piątek))
system	Na piątek zaplanowano następujące spotkania: Data: Poniedziałek 29.03.2021 14:00-15:00 Miejsce: Sala konferencyjna w biurze Spotkanie z: Jan Nowak - Prezes firmy ABC	inform(meeting list(date=najbliższy piątek))
user	Dziękuję, to wszystko.	bye()
