Interlocutor	Text	Acts
system	Witam w prywatnym asystencie kalendarza spotkań. W czym mogę pomóc?	welcomemsg()
user	Chciałbym sprawdzić moje spotkania w piątek	request(meeting_list) & inform(date=02.04.2021)
system	Na piątek 02.04.2021 nie masz zaplanywanych żadnych spotkań.	inform(meeting_list)
user	proszę wpisać na 02.04.2021 o godzinie 19:00: Wyjście do kina ze znajomą	request(create_meeting) & inform(date='02.04.2021', time='19:00', participants=['znajoma'], place='kino', description='wyjście do kina')
system	Ile będzie trwało to spotkanie?	request(meeting_length)
user	2 godziny	inform(meeting_length='2 godziny')
system	Spotkanie zostało dodane: Data: Piątek 02.04.2021 19:00-21:00 Miejsce: kino Z: znajoma Opis: wyjście do kina	affirm(create_meeting)
user	Pomyliłem się podczas podawania godziny. Chciałbym przełożyć to spotkanie na 20:00 do 22:00	request(update_meeting) & inform(time='20:00', meeting_length='2 godziny')
system	Spotkanie zostało zmienione: Data: Piątek 02.04.2021 20:00-22:00 Miejsce: kino Z: znajoma Opis: wyjście do kina	affirm(update_meeting)
user	Dziękuję	thankyou()
system	Czy mogę jeszcze Ci w czymś pomóc?	reqmore()
user	ile będę miał dni bez zaplanowanych spotkań w przyszłym miesiącu	request(free_days_count) & inform(time='przyszły miesiąc')
system	Dni bez zaplanowanych spotkań w przyszłym miesiącu: 29	welcomemsg()
user	Dziękuję za informację	thankyou()
system	Czy mogę jeszcze w czymś pomóc?	reqmore()
user	To wszystko. Dziękuję	bye() & thankyou()
system	Do widzenia, życzę miłego dnia.	bye()
	
