Interlocutor	Text	Acts
system	Witam w prywatnym asystencie kalendarza spotkań. W czym mogę pomóc?	welcomemsg()
user	Jakie mam spotkania 31 marca?	request(meeting_list) & inform(date='31.03.2021')
system	Nie masz żadnych spotkań 31 marca. Czy chciałbyś umówić spotkanie na ten dzień?	inform(meeting_list)
user	Nie. A jakie spotkania mam jutro?	request(meeting_list) & inform(date='jutro')
system	Na jutro masz zaplanowane następujące spotkania: Data: Wtorek 30.03.2021 14:00-15:30 Miejsce: Sala konferencyjna w biurze Spotkanie z: Jan Nowak - Prezes firmy ABC	inform(meeting_list)
user	Chciałbym odwołać to spotkanie	request(cancel_meeting) & inform(spotkanie='to spotkanie')
system	Czy jesteś pewien, że chcesz odwołać to spotkanie?	confirm-domain()
user	Tak	ack()
system	Spotkanie zostało odwołane. Czy mogę w czymś jeszcze pomóc?	affirm(cancel_meeting) & reqmore()
user	Chciałbym zaplanować nowe spotkanie na miejsce tego odwołanego	request(create_meeting)
system	Gdzie będzie to spotkanie?	request(place)
user	bez miejsca	negate()
system	Z kim będzie to spotkanie?	request(participants)
user	Jan Kowalski	inform(participants=['Jan Kowalski'])
system	Spotkanie zostało dodane do kalendarza: Data: Wtorek 30.03.2021 14:00-15:30 Miejsce: brak Z: Jan Kowalski	affirm(create_meeting)
user	Chciałbym jeszcze dodać nową osobę do tego spotkania	request(update_meeting)
system	Kogo dodać do tego spotkania?	request(participants)
user	Jan Nowak	inform(participants=['Jan Nowak'])
system	Uczestnik spotkania został dodany: Data: Wtorek 30.03.2021 14:00-15:30 Miejsce: brak Z: Jan Kowalski i Jan Nowak	affirm(update_meeting)
user	A jakie mam wolne terminy jutro?	request(free_time) & inform(date='jutro')
system	Dostępne terminy jutro: 00:00-10:00 12:00-14:00 15:30-24:00	inform(free_time)
user	Kiedy mam spotkanie z Janem Nowakiem?	request(meeting_list) & inform(participants=['Jan Nowak'])
system	Spotkania z Janem Nowakiem: Data: Wtorek 30.03.2021 14:00-15:30 Miejsce: brak Z: Jan Kowalski i Jan Nowak	inform(meeting_list)
user	Chciałbym usunąć Jana Kowalskiego z tego spotkania	request(update_meeting) & inform(meeting='to spotkanie', participants=['Jan Kowalski'])
system	Jan Kowalski został usunięty ze spotkania: Data: Wtorek 30.03.2021 14:00-15:30 Miejsce: brak Z: Jan Nowak	affirm(update_meeting)
user	To by było wszystko na teraz	bye()
system	Do widzenia. Życzę miłego dnia.	bye()
